physicalid,full_stree,ntaname,boro_name,count,count_per_100ft,with_nta_name
97291,85 AVE,Briarwood-Jamaica Hills,Queens,3.0,0.4416820794331385,"85 AVE, Briarwood-Jamaica Hills, Queens"
44167,NEW YORK AVE,,,0.0,0.0,
30604,86 ST,,,0.0,0.0,
42904,12 AVE,,,0.0,0.0,
35691,GD CONCOURSE,,,0.0,0.0,
28981,43 ST,Steinway,Queens,1.0,0.052097916349570575,"43 ST, Steinway, Queens"
39747,BR BEACH AVENUE,,,0.0,0.0,
64048,CLAWSON ST,New Dorp-Midland Beach,Staten Island,2.0,0.2937516902012043,"CLAWSON ST, New Dorp-Midland Beach, Staten Island"
92178,B 109 ST,,,0.0,0.0,
51156,SHORE PW,,,0.0,0.0,
64713,48 ST,,,0.0,0.0,
58167,PORT RICHMOND AVE,,,0.0,0.0,
37791,3 AVE,,,0.0,0.0,
31801,25 AVE,Jackson Heights,Queens,1.0,0.14704087108728567,"25 AVE, Jackson Heights, Queens"
45469,MAPLE ST,,,0.0,0.0,
72262,AVE L,Flatlands,Brooklyn,1.0,0.14263079364529158,"AVE L, Flatlands, Brooklyn"
97606,60 ST,,,0.0,0.0,
86412,EVELYN PL,,,0.0,0.0,
73878,FULTON ST,,,0.0,0.0,
79883,WAVERLY PL,,,0.0,0.0,
52986,BENSON AVE,,,0.0,0.0,
4018,COLUMBIA ST,,,0.0,0.0,
2611,FIRST AVE,,,0.0,0.0,
53300,65 ST,,,0.0,0.0,
84604,ROSE AVE,,,0.0,0.0,
49672,WOODROW RD,,,0.0,0.0,
37753,3 AVE,,,0.0,0.0,
101972,COUNTRY DR W,,,0.0,0.0,
65622,SHORE PW,,,0.0,0.0,
59876,WATERBURY AVE,,,0.0,0.0,
89902,93 AVE,,,0.0,0.0,
59621,CONCORD AVE,,,0.0,0.0,
45402,AVE U,,,0.0,0.0,
55491,FOREST HIL RD,,,0.0,0.0,
64119,MOSHOLU AVE,North Riverdale-Fieldston-Riverdale,Bronx,1.0,0.0868136113273037,"MOSHOLU AVE, North Riverdale-Fieldston-Riverdale, Bronx"
28236,151 AVE,,,0.0,0.0,
56683,21 AVE,,,0.0,0.0,
56286,HIGHLAWN AVE,,,0.0,0.0,
20457,MERRICK BLVD,,,0.0,0.0,
16136,GRASSMERE TER,,,0.0,0.0,
42064,ALLERTON AVE,,,0.0,0.0,
1725,W  42 ST,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,1.0,0.31692815458677864,"W  42 ST, Hudson Yards-Chelsea-Flatiron-Union Square, Manhattan"
80982,FISHER AVE,,,0.0,0.0,
28681,223 ST,,,0.0,0.0,
166311,BOSTON POST RD,,,0.0,0.0,
60921,WALTON AVE,,,0.0,0.0,
13340,QNS MIDTOWN EXPY  CLVR,,,0.0,0.0,
71003,RIVERDALE AVE,,,0.0,0.0,
15430,ARTHUR KIL RD,,,0.0,0.0,
65971,193 ST,,,0.0,0.0,
62205,COURTLAND AVE,,,0.0,0.0,
61886,CRYSTAL AVE,,,0.0,0.0,
95876,E  99 ST,,,0.0,0.0,
93010,59 RD,,,0.0,0.0,
30452,MADISON ST,,,0.0,0.0,
34462,232 ST,Cambria Heights,Queens,1.0,0.13292341555113052,"232 ST, Cambria Heights, Queens"
69240,STRICKLAND AVE,,,0.0,0.0,
